Partlist

Exported from mainPCB.sch at 9/29/17 8:55 PM

EAGLE Version 8.3.2 Copyright (c) 1988-2017 Autodesk, Inc.

Assembly variant: 

Part     Value                   Device                  Package             Library               Sheet

CN1      SDS-50J                 SDS-50J                 SDS-50J             SDS-50J               2
CN2      SDS-50J                 SDS-50J                 SDS-50J             SDS-50J               2
CN3      SDS-50J                 SDS-50J                 SDS-50J             SDS-50J               2
CN4      SDS-50J                 SDS-50J                 SDS-50J             SDS-50J               2
D2                               DIODESMA                SMA-DIODE           SparkFun-DiscreteSemi 2
D3                               DIODESMA                SMA-DIODE           SparkFun-DiscreteSemi 2
D4                               DIODESMA                SMA-DIODE           SparkFun-DiscreteSemi 2
D6                               DIODESMA                SMA-DIODE           SparkFun-DiscreteSemi 2
F1       3544-2                  3544-2                  3544-2              lib                   2
F2       3544-2                  3544-2                  3544-2              lib                   2
F3       3544-2                  3544-2                  3544-2              lib                   2
F4       3544-2                  3544-2                  3544-2              lib                   2
J1                               M022.54MM_SCREWTERM     1X02_2.54_SCREWTERM SparkFun-Connectors   1
J2       RASPBERRYPI-40-PIN-GPIO RASPBERRYPI-40-PIN-GPIO 2X20-SHROUDED       SparkFun-Boards       1
J3                               M022.54MM_SCREWTERM     1X02_2.54_SCREWTERM SparkFun-Connectors   1
J4                               M022.54MM_SCREWTERM     1X02_2.54_SCREWTERM SparkFun-Connectors   1
J5                               M022.54MM_SCREWTERM     1X02_2.54_SCREWTERM SparkFun-Connectors   1
R1                               RESISTOR0603-RES        0603-RES            SparkFun-Passives     1
R2                               RESISTOR0603-RES        0603-RES            SparkFun-Passives     1
R3                               RESISTOR0603-RES        0603-RES            SparkFun-Passives     1
R4       50                      RESISTOR0603-RES        0603-RES            SparkFun-Passives     2
R5       10k                     RESISTOR0603-RES        0603-RES            SparkFun-Passives     2
R6       50k                     RESISTOR0603-RES        0603-RES            SparkFun-Passives     2
R7       50                      RESISTOR0603-RES        0603-RES            SparkFun-Passives     2
R8       10k                     RESISTOR0603-RES        0603-RES            SparkFun-Passives     2
R9       50k                     RESISTOR0603-RES        0603-RES            SparkFun-Passives     2
R10      50                      RESISTOR0603-RES        0603-RES            SparkFun-Passives     2
R11      10k                     RESISTOR0603-RES        0603-RES            SparkFun-Passives     2
R12      50k                     RESISTOR0603-RES        0603-RES            SparkFun-Passives     2
R13                              RESISTOR0603-RES        0603-RES            SparkFun-Passives     1
R14                              RESISTOR0603-RES        0603-RES            SparkFun-Passives     1
R15                              RESISTOR0603-RES        0603-RES            SparkFun-Passives     1
R16      50                      RESISTOR0603-RES        0603-RES            SparkFun-Passives     2
R17      10k                     RESISTOR0603-RES        0603-RES            SparkFun-Passives     2
R18      50k                     RESISTOR0603-RES        0603-RES            SparkFun-Passives     2
R19                              RESISTOR0603-RES        0603-RES            SparkFun-Passives     1
R20                              RESISTOR0603-RES        0603-RES            SparkFun-Passives     1
T2       BC817                   BC817                   BC817               lib                   2
T3       BC817                   BC817                   BC817               lib                   2
T4       BC817                   BC817                   BC817               lib                   2
T6       BC817                   BC817                   BC817               lib                   2
U$1      MCP3208I/SL             MCP3208I/SL             SO-16DW             adcLib                1
U3       SFH615A-07              SFH615A-07              SFH615A-07          lib                   2
U4       ALQ105                  ALQ105                  ALQ105              lib                   2
U5       SFH615A-07              SFH615A-07              SFH615A-07          lib                   2
U6       ALQ105                  ALQ105                  ALQ105              lib                   2
U7       SFH615A-07              SFH615A-07              SFH615A-07          lib                   2
U8       ALQ105                  ALQ105                  ALQ105              lib                   2
U11      SFH615A-07              SFH615A-07              SFH615A-07          lib                   2
U12      ALQ105                  ALQ105                  ALQ105              lib                   2
