"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"DESIGNER";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"MANUFACTURER_PART_NUMBER";"MF";"MP";"PACKAGE";"POPULATE";"PRICE";"PROD_ID";"VALUE";"VENDOR";"VERSION";
"8";"";"DIODESMA";"SMA-DIODE";"D2, D3, D4, D6, D8, D9, D10, D11";"Diode";"";"";"";"";"";"";"";"";"";"Y";"";"";"";"";"";
"1";"";"M02PTH";"1X02";"J6";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";"";"";"";"";"Y";"";"";"";"";"";
"6";"0";"RESISTOR0603-RES";"0603-RES";"R1, R2, R3, R13, R19, R20";"Resistor";"";"";"";"";"";"";"";"";"";"Y";"";"";"";"";"";
"4";"0";"RESISTOR1206";"1206";"R14, R15, R24, R36";"Resistor";"";"";"";"";"";"";"";"";"";"Y";"";"";"";"";"";
"11";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11";"CAP-00810";"";"";"";"";"";"";"";"";"";"Y";"";"CAP-00810";"0.1uF";"";"";
"9";"10k";"RESISTOR0603-RES";"0603-RES";"R5, R8, R11, R17, R25, R40, R43, R46, R49";"Resistor";"";"";"";"";"";"";"";"";"";"Y";"";"";"";"";"";
"1";"1935161";"1935161";"PHOENIX_1935161";"J1";"Conn Terminal Blocks 2 POS 5mm Solder ST Thru-Hole 16A";"";"TERM BLOCK PCB 2POS 5.0MM GREEN";"";"277-1667-ND";"https://www.digikey.com/product-detail/en/phoenix-contact/1935161/277-1667-ND/568614?WT.z_cid=ref_snapeda&utm_source=snapeda&utm_medium=aggregator&utm_campaign=buynow";"";"Phoenix Contact";"1935161";"None";"";"";"";"";"";"";
"2";"1uF";"1.0UF50V10%(1206)";"1206-CAP";"C12, C13";"CAP-09822";"";"";"";"";"";"";"";"";"";"Y";"";"CAP-09822";"1.0uF";"";"";
"3";"3.9k";"RESISTOR0603-RES";"0603-RES";"R21, R22, R23";"Resistor";"";"";"";"";"";"";"";"";"";"Y";"";"";"";"";"";
"8";"330";"RESISTOR0603-RES";"0603-RES";"R28, R29, R30, R31, R32, R33, R34, R35";"Resistor";"";"";"";"";"";"";"";"";"";"Y";"";"";"";"";"";
"9";"3544-2";"3544-2";"3544-2";"F1, F2, F3, F4, F5, F6, F7, F8, F9";"Keystone Electronics Fuse Holder - 3544-2";"";"";"";"";"";"";"";"";"";"Y";"";"";"";"";"";
"8";"47";"RESISTOR0603-RES";"0603-RES";"R4, R7, R10, R16, R39, R42, R45, R48";"Resistor";"";"";"";"";"";"";"";"";"";"Y";"";"";"";"";"";
"9";"47k";"RESISTOR0603-RES";"0603-RES";"R6, R9, R12, R18, R26, R41, R44, R47, R50";"Resistor";"";"";"";"";"";"";"";"";"";"Y";"";"";"";"";"";
"8";"ALQ105";"ALQ105";"ALQ105";"U4, U6, U8, U12, U14, U16, U18, U20";"ALQ105 Solenoid";"";"";"";"";"";"";"";"";"";"Y";"";"";"";"";"";
"1";"AT24C256C-SSHL-B";"AT24C256C-SSHL-B";"SOIC127P600X175-8N";"U1";"EEPROM Serial-2Wire 256K-bit 32K x 8 1.8V/2.5V/3.3V/5V 8-Pin SOIC Bulk";"";"EEPROM Serial-2Wire 256K-bit 32K x 8 1.8V/2.5V/3.3V/5V 8-Pin SOIC Bulk";"";"AT24C256C-SSHL-B-ND";"https://www.digikey.com/product-detail/en/microchip-technology/AT24C256C-SSHL-B/AT24C256C-SSHL-B-ND/2271121?WT.z_cid=ref_snapeda";"";"Atmel";"AT24C256C-SSHL-B";"SOIC-8 Atmel";"Y";"";"";"";"";"";
"8";"BAV99-7-F";"BAV99";"SOT23-3";"D1, D5, D7, D12, D13, D14, D15, D16";"Two small signal silicon diodes connected anode to cathode.";"";"";"";"";"";"";"";"";"";"Y";"";"DIO-10647";"";"";"";
"8";"BC817";"BC817";"BC817";"T2, T3, T4, T5, T6, T7, T8, T9";"NPN Transistor BC817";"";"";"";"";"";"";"";"";"";"Y";"";"";"";"";"";
"1";"DMG2305UX-13SOT-23-M";"DMG2305UX-13SOT-23-M";"SOT-23-M";"U2";"";"";"";"";"";"";"DMG2305UX13";"";"";"";"Y";"";"";"";"Diodes Inc";"";
"1";"DMMT5401-7-F";"DMMT5401-7-F";"SOT26";"Q1";"http://octopart.com/dmmt5401-7-f-diodes+inc.-39560120";"";" DMMT5401 Series PNP 150 V 300 mW Small Signal Transistor SMT - SOT-26-6 ";"";"DMMT5401-FDICT-ND";"https://www.digikey.com/product-detail/en/diodes-incorporated/DMMT5401-7-F/DMMT5401-FDICT-ND/717881?WT.z_cid=ref_snapeda";"";"Diodes Inc.";"DMMT5401-7-F";"SOT-23 Diodes Inc.";"Y";"";"";"";"";"";
"1";"DNP";"RESISTOR1206";"1206";"R27";"Resistor";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";
"1";"DR73-1R0-R";"DR73-1R0-R";"DR73";"L1";"";"";"";"";"";"";"DR731R0R";"";"";"";"";"";"";"";"Cooper Bussmann";"";
"2";"EEE-HA1C471UPCAP_PAN_EEE_F-L";"EEE-HA1C471UPCAP_PAN_EEE_F-L";"CAP_PAN_EEE_F-L";"C14, C15";"";"";"";"";"";"";"EEEHA1C471UP";"";"";"";"Y";"";"";"";"PANASONIC";"";
"1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"FRAME3";"Schematic Frame";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";
"2";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"FRAME1, FRAME2";"Schematic Frame";"";"";"Nobody";"";"";"";"";"";"";"N";"";"";"";"";"v01";
"1";"MCP3208T-CI/SL";"MCP3208T-CI/SL";"SOIC16-N_MC";"U$2";"Microchip MCP3208 ADC";"Good";" 8 Channel SPI Serial Interface 2.7 V 12-Bit A/D Converter SMT - SOIC-16 ";"";"";"";"";"Microchip";"MCP3208T-CI/SL";"SOIC-16 Microchip";"Y";"3.04 USD";"";"";"";"";
"1";"RASPBERRYPI-40-PIN-GPIO";"RASPBERRYPI-40-PIN-GPIO";"2X20-SHROUDED";"J2";"Second Generation Raspberry Pi GPIO Header";"";"";"";"";"";"";"";"";"";"Y";"";"";"";"";"";
"1";"S24SE05004PDFA";"S24SE05004PDFA";"CONV_S24SE05002PDFA";"U9";"None";"Warning";"DC/DC CONVERTER 5V 4A 20W 6DIP";"";"";"";"";"Delta Electronics";"S24SE05004PDFA";"DIP-6 Delta";"";"35.63 USD";"";"";"";"";
