"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"DESIGNER";"MF";"MP";"PACKAGE";"PRICE";"VERSION";
"CN1";"SDS-50J";"SDS-50J";"SDS-50J";"DIN 5-Pin - Circular";"Good";"5 Pin%2C Right-Angle Receptacle%2C 180%C2%B0";"";"CUI";"SDS-50J";"None";"0.77 USD";"";
"CN2";"SDS-50J";"SDS-50J";"SDS-50J";"DIN 5-Pin - Circular";"Good";"5 Pin%2C Right-Angle Receptacle%2C 180%C2%B0";"";"CUI";"SDS-50J";"None";"0.77 USD";"";
"CN3";"SDS-50J";"SDS-50J";"SDS-50J";"DIN 5-Pin - Circular";"Good";"5 Pin%2C Right-Angle Receptacle%2C 180%C2%B0";"";"CUI";"SDS-50J";"None";"0.77 USD";"";
"CN4";"SDS-50J";"SDS-50J";"SDS-50J";"DIN 5-Pin - Circular";"Good";"5 Pin%2C Right-Angle Receptacle%2C 180%C2%B0";"";"CUI";"SDS-50J";"None";"0.77 USD";"";
"D2";"";"DIODESMA";"SMA-DIODE";"Diode";"";"";"";"";"";"";"";"";
"D3";"";"DIODESMA";"SMA-DIODE";"Diode";"";"";"";"";"";"";"";"";
"D4";"";"DIODESMA";"SMA-DIODE";"Diode";"";"";"";"";"";"";"";"";
"D6";"";"DIODESMA";"SMA-DIODE";"Diode";"";"";"";"";"";"";"";"";
"F1";"3544-2";"3544-2";"3544-2";"Keystone Electronics Fuse Holder - 3544-2";"";"";"";"";"";"";"";"";
"F2";"3544-2";"3544-2";"3544-2";"Keystone Electronics Fuse Holder - 3544-2";"";"";"";"";"";"";"";"";
"F3";"3544-2";"3544-2";"3544-2";"Keystone Electronics Fuse Holder - 3544-2";"";"";"";"";"";"";"";"";
"F4";"3544-2";"3544-2";"3544-2";"Keystone Electronics Fuse Holder - 3544-2";"";"";"";"";"";"";"";"";
"FRAME1";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"Schematic Frame";"";"";"Nobody";"";"";"";"";"v01";
"FRAME2";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"Schematic Frame";"";"";"Nobody";"";"";"";"";"v01";
"J1";"";"M022.54MM_SCREWTERM";"1X02_2.54_SCREWTERM";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";"";"";"";
