"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"DESIGNER";"MF";"MP";"PACKAGE";"PRICE";"VERSION";
"4";"";"DIODESMA";"SMA-DIODE";"D2, D3, D4, D6";"Diode";"";"";"";"";"";"";"";"";
"4";"";"M022.54MM_SCREWTERM";"1X02_2.54_SCREWTERM";"J1, J3, J4, J5";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";"";"";"";
"8";"0";"RESISTOR0603-RES";"0603-RES";"R1, R2, R3, R13, R14, R15, R19, R20";"Resistor";"";"";"";"";"";"";"";"";
"4";"10k";"RESISTOR0603-RES";"0603-RES";"R5, R8, R11, R17";"Resistor";"";"";"";"";"";"";"";"";
"4";"3544-2";"3544-2";"3544-2";"F1, F2, F3, F4";"Keystone Electronics Fuse Holder - 3544-2";"";"";"";"";"";"";"";"";
"4";"47";"RESISTOR0603-RES";"0603-RES";"R4, R7, R10, R16";"Resistor";"";"";"";"";"";"";"";"";
"4";"47k";"RESISTOR0603-RES";"0603-RES";"R6, R9, R12, R18";"Resistor";"";"";"";"";"";"";"";"";
"4";"ALQ105";"ALQ105";"ALQ105";"U4, U6, U8, U12";"ALQ105 Solenoid";"";"";"";"";"";"";"";"";
"4";"BC817";"BC817";"BC817";"T2, T3, T4, T6";"NPN Transistor BC817";"";"";"";"";"";"";"";"";
"2";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"FRAME1, FRAME2";"Schematic Frame";"";"";"Nobody";"";"";"";"";"v01";
"1";"MCP3208I/SL";"MCP3208I/SL";"SO-16DW";"U$1";"Microchip MCP3208 8-bit ADC";"";"";"";"";"";"";"";"";
"1";"RASPBERRYPI-40-PIN-GPIO";"RASPBERRYPI-40-PIN-GPIO";"2X20-SHROUDED";"J2";"Second Generation Raspberry Pi GPIO Header";"";"";"";"";"";"";"";"";
"4";"SDS-50J";"SDS-50J";"SDS-50J";"CN1, CN2, CN3, CN4";"DIN 5-Pin - Circular";"Good";"5 Pin%2C Right-Angle Receptacle%2C 180%C2%B0";"";"CUI";"SDS-50J";"None";"0.77 USD";"";
"4";"SFH615A-07";"SFH615A-07";"SFH615A-07";"U3, U5, U7, U11";"Vishay Optocoupler SFH615A-007";"";"";"";"";"";"";"";"";
