Units of X-Y coordinates are in millimeters
Part	X	Y	Angle	Value	Package
C1	20.02	31.50	180	0.1uF	0603-CAP
C2	76.84	17.78	0	0.1uF	0603-CAP
C3	79.12	21.46	0	0.1uF	0603-CAP
C4	81.28	25.15	0	0.1uF	0603-CAP
C5	82.17	28.96	0	0.1uF	0603-CAP
C6	90.30	28.96	180	0.1uF	0603-CAP
C7	91.31	25.15	180	0.1uF	0603-CAP
C8	93.34	21.46	180	0.1uF	0603-CAP
C9	95.89	17.78	180	0.1uF	0603-CAP
C10	76.53	9.93	0	0.1uF	0603-CAP
C11	76.53	7.24	0	0.1uF	0603-CAP
D1	22.02	44.58	90	BAV99-7-F	SOT23-3
D5	44.50	44.45	90	BAV99-7-F	SOT23-3
D7	67.87	44.45	90	BAV99-7-F	SOT23-3
D12	89.71	44.45	90	BAV99-7-F	SOT23-3
D13	113.33	44.45	90	BAV99-7-F	SOT23-3
D14	135.94	44.45	90	BAV99-7-F	SOT23-3
D15	159.05	44.45	90	BAV99-7-F	SOT23-3
D16	180.42	46.23	90	BAV99-7-F	SOT23-3
R1	36.96	27.81	180	0	0603-RES
R2	39.88	25.91	180	0	0603-RES
R3	64.26	2.79	180	0	0603-RES
R13	34.04	29.72	180	0	0603-RES
R15	57.96	17.02	270	0	1206
R19	76.53	12.60	0	0	0603-RES
R20	93.42	11.81	270	0	0603-RES
R21	10.11	21.39	0	3.9k	0603-RES
R22	10.11	23.93	0	3.9k	0603-RES
R23	10.11	26.85	0	3.9k	0603-RES
R24	184.15	31.72	270	0	1206
R28	79.63	16.89	90	330	0603-RES
R29	82.04	20.57	90	330	0603-RES
R30	84.07	24.26	90	330	0603-RES
R31	84.84	28.07	90	330	0603-RES
R32	87.63	28.07	90	330	0603-RES
R33	88.52	24.26	90	330	0603-RES
R34	90.55	20.45	90	330	0603-RES
R35	93.22	16.89	90	330	0603-RES
U$2	86.23	11.81	270	MCP3208T-CI/SL	SOIC16-N_MC
U1	20.02	27.48	0	AT24C256C-SSHL-B	SOIC127P600X175-8N
