Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "mainPCB.brd" as of: 12/23/17 10:53 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Bottom,0.788,1.240,180
C2,Bottom,3.025,0.700,0
C3,Bottom,3.115,0.845,0
C4,Bottom,3.200,0.990,0
C5,Bottom,3.235,1.140,0
C6,Bottom,3.555,1.140,180
C7,Bottom,3.595,0.990,180
C8,Bottom,3.675,0.845,180
C9,Bottom,3.775,0.700,180
C10,Bottom,3.013,0.391,0
C11,Bottom,3.013,0.285,0
C12,Top,4.790,0.170,90
C13,Top,4.640,0.170,90
C14,Top,5.805,0.545,90
C15,Top,6.255,0.545,90
D1,Bottom,0.865,1.755,90
D2,Top,0.285,1.618,180
D3,Top,2.085,1.618,180
D4,Top,1.185,1.618,180
D5,Bottom,1.750,1.750,90
D6,Top,2.985,1.618,180
D7,Bottom,2.670,1.750,90
D8,Top,3.885,1.618,180
D9,Top,4.785,1.618,180
D10,Top,6.585,1.618,180
D11,Top,5.685,1.618,180
D12,Bottom,3.530,1.750,90
D13,Bottom,4.460,1.750,90
D14,Bottom,5.350,1.750,90
D15,Bottom,6.260,1.750,90
D16,Bottom,7.101,1.820,90
Q1,Top,5.390,0.145,90
R1,Bottom,1.455,1.095,180
R2,Bottom,1.570,1.020,180
R3,Bottom,2.530,0.110,180
R4,Top,0.199,0.918,90
R5,Top,0.425,1.454,180
R6,Top,0.587,1.454,180
R7,Top,1.880,1.047,90
R8,Top,2.225,1.454,180
R9,Top,2.387,1.454,180
R10,Top,1.100,0.921,90
R11,Top,1.325,1.454,180
R12,Top,1.487,1.454,180
R13,Bottom,1.340,1.170,180
R14,Top,4.440,0.115,180
R15,Bottom,2.282,0.670,270
R16,Top,2.900,0.918,90
R17,Top,3.125,1.454,180
R18,Top,3.287,1.454,180
R19,Bottom,3.013,0.496,0
R20,Bottom,3.678,0.465,270
R21,Bottom,0.398,0.842,0
R22,Bottom,0.398,0.942,0
R23,Bottom,0.398,1.057,0
R24,Bottom,7.250,1.249,270
R25,Top,5.180,0.090,0
R26,Top,5.180,0.210,0
R27,Top,5.444,0.525,0
R28,Bottom,3.135,0.665,90
R29,Bottom,3.230,0.810,90
R30,Bottom,3.310,0.955,90
R31,Bottom,3.340,1.105,90
R32,Bottom,3.450,1.105,90
R33,Bottom,3.485,0.955,90
R34,Bottom,3.565,0.805,90
R35,Bottom,3.670,0.665,90
R39,Top,3.800,0.918,90
R40,Top,4.025,1.454,180
R41,Top,4.187,1.454,180
R42,Top,4.700,0.918,90
R43,Top,4.925,1.454,180
R44,Top,5.087,1.454,180
R45,Top,6.500,0.918,90
R46,Top,6.710,1.454,180
R47,Top,6.887,1.454,180
R48,Top,5.600,0.918,90
R49,Top,5.825,1.454,180
R50,Top,5.987,1.454,180
T2,Top,0.500,1.583,0
T3,Top,2.300,1.583,0
T4,Top,1.400,1.583,0
T5,Top,4.100,1.583,0
T6,Top,3.200,1.583,0
T7,Top,5.000,1.583,0
T8,Top,6.800,1.583,0
T9,Top,5.900,1.583,0
U$2,Bottom,3.395,0.465,270
U1,Bottom,0.788,1.082,0
U2,Top,5.350,0.395,0
U3,Top,0.250,1.268,90
U5,Top,2.050,1.268,90
U7,Top,1.150,1.268,90
U11,Top,2.950,1.268,90
U13,Top,3.850,1.268,90
U15,Top,4.750,1.268,90
U17,Top,6.550,1.268,90
U19,Top,5.650,1.268,90
